epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.73541,2.23509,0.18519,0.7037,2.12441,9.997e-05,9.997e-05,9.997e-05
2,17.4779,2.09724,0.35185,0.81481,1.98568,0.000200778,0.000200778,0.000200778
3,25.3091,1.88123,0.55556,0.96296,1.73005,0.000294481,0.000294481,0.000294481
4,32.9344,1.62421,0.7037,0.94444,1.47694,0.000381078,0.000381078,0.000381078
5,41.7025,1.34537,0.74074,0.98148,1.186,0.000460569,0.000460569,0.000460569
6,49.2436,1.15064,0.77778,1,0.92169,0.000532955,0.000532955,0.000532955
7,58.3373,0.89975,0.81481,1,0.78881,0.000598236,0.000598236,0.000598236
8,69.2533,0.72498,0.85185,1,0.71826,0.000591361,0.000591361,0.000591361
9,77.1044,0.57196,0.81481,1,0.65846,0.000565984,0.000565984,0.000565984
10,85.087,0.46244,0.77778,1,0.62086,0.000540607,0.000540607,0.000540607
11,93.4702,0.37756,0.77778,1,0.5942,0.00051523,0.00051523,0.00051523
12,102.813,0.32129,0.75926,1,0.56165,0.000489853,0.000489853,0.000489853
13,110.59,0.27406,0.74074,1,0.5198,0.000464476,0.000464476,0.000464476
14,118.501,0.25974,0.7963,1,0.57526,0.000439099,0.000439099,0.000439099
15,127.023,0.23624,0.7963,1,0.48408,0.000413722,0.000413722,0.000413722
16,134.455,0.20513,0.77778,1,0.46207,0.000388345,0.000388345,0.000388345
17,142.562,0.18639,0.77778,1,0.46387,0.000362968,0.000362968,0.000362968
18,150.008,0.21667,0.77778,1,0.54329,0.000337591,0.000337591,0.000337591
19,157.496,0.17571,0.77778,1,0.54094,0.000312214,0.000312214,0.000312214
20,164.896,0.17404,0.7963,1,0.53821,0.000286837,0.000286837,0.000286837
21,172.582,0.16131,0.7963,1,0.53546,0.00026146,0.00026146,0.00026146
22,182.302,0.11869,0.7963,1,0.55799,0.000236083,0.000236083,0.000236083
23,191.113,0.13735,0.7963,1,0.4949,0.000210706,0.000210706,0.000210706
24,198.664,0.15434,0.7963,1,0.51022,0.000185329,0.000185329,0.000185329
25,206.268,0.11196,0.7963,1,0.52771,0.000159952,0.000159952,0.000159952
26,213.808,0.12509,0.7963,1,0.51486,0.000134575,0.000134575,0.000134575
27,221.219,0.09413,0.7963,1,0.48965,0.000109198,0.000109198,0.000109198
28,228.914,0.14056,0.7963,1,0.4581,8.3821e-05,8.3821e-05,8.3821e-05
29,236.625,0.09568,0.7963,1,0.47671,5.8444e-05,5.8444e-05,5.8444e-05
30,245.438,0.12676,0.81481,1,0.45652,3.3067e-05,3.3067e-05,3.3067e-05
