epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.22325,2.23509,0.18519,0.7037,2.12441,9.997e-05,9.997e-05,9.997e-05
2,12.2934,2.09724,0.35185,0.81481,1.98568,0.000200778,0.000200778,0.000200778
3,18.5929,1.88123,0.55556,0.96296,1.73005,0.000294481,0.000294481,0.000294481
4,24.5558,1.62421,0.7037,0.94444,1.47694,0.000381078,0.000381078,0.000381078
5,30.535,1.34537,0.74074,0.98148,1.186,0.000460569,0.000460569,0.000460569
6,37.3585,1.15064,0.77778,1,0.92169,0.000532955,0.000532955,0.000532955
7,44.137,0.89975,0.81481,1,0.78881,0.000598236,0.000598236,0.000598236
8,50.725,0.72498,0.85185,1,0.71826,0.000591361,0.000591361,0.000591361
9,57.4173,0.57196,0.81481,1,0.65846,0.000565984,0.000565984,0.000565984
10,64.1041,0.46244,0.77778,1,0.62086,0.000540607,0.000540607,0.000540607
11,70.7183,0.37756,0.77778,1,0.5942,0.00051523,0.00051523,0.00051523
12,77.4658,0.32129,0.75926,1,0.56165,0.000489853,0.000489853,0.000489853
13,84.0005,0.27406,0.74074,1,0.5198,0.000464476,0.000464476,0.000464476
14,90.6553,0.25974,0.7963,1,0.57526,0.000439099,0.000439099,0.000439099
15,97.5343,0.23624,0.7963,1,0.48408,0.000413722,0.000413722,0.000413722
16,104.296,0.20513,0.77778,1,0.46207,0.000388345,0.000388345,0.000388345
17,110.94,0.18639,0.77778,1,0.46387,0.000362968,0.000362968,0.000362968
18,117.712,0.21667,0.77778,1,0.54329,0.000337591,0.000337591,0.000337591
19,124.519,0.17571,0.77778,1,0.54094,0.000312214,0.000312214,0.000312214
